STRUCT,SIZE,MEMBER,OFFSET_BYTES,OFFSET_HEX,BTF_EVIDENCE,DWARF_EVIDENCE,ZG3_VALUE_IF_PRESENT,MATCH_ZG3,NOTES
struct task_struct,4608,sas_ss_sp,2096,0x830,BTF type_id=462 bits_offset=16768,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sas_ss_size,2104,0x838,BTF type_id=462 bits_offset=16832,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sas_ss_flags,2112,0x840,BTF type_id=462 bits_offset=16896,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,task_works,2120,0x848,BTF type_id=462 bits_offset=16960,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,audit_context,2128,0x850,BTF type_id=462 bits_offset=17024,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,loginuid,2136,0x858,BTF type_id=462 bits_offset=17088,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sessionid,2140,0x85c,BTF type_id=462 bits_offset=17120,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,seccomp,2144,0x860,BTF type_id=462 bits_offset=17152,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,syscall_dispatch,2160,0x870,BTF type_id=462 bits_offset=17280,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,parent_exec_id,2160,0x870,BTF type_id=462 bits_offset=17280,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,self_exec_id,2168,0x878,BTF type_id=462 bits_offset=17344,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,alloc_lock,2176,0x880,BTF type_id=462 bits_offset=17408,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pi_lock,2180,0x884,BTF type_id=462 bits_offset=17440,DWARF pahole -F btf -C task_struct,0x884,IDENTICAL,Matches ZG3 macro FAKE_TASK_PI_LOCK_OFF
struct task_struct,4608,wake_q,2184,0x888,BTF type_id=462 bits_offset=17472,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,wake_q_count,2192,0x890,BTF type_id=462 bits_offset=17536,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pi_waiters,2200,0x898,BTF type_id=462 bits_offset=17600,DWARF pahole -F btf -C task_struct,0x898,IDENTICAL,Matches ZG3 macro FAKE_TASK_PI_WAITERS_OFF
struct task_struct,4608,pi_top_task,2216,0x8a8,BTF type_id=462 bits_offset=17728,DWARF pahole -F btf -C task_struct,0x8a8,IDENTICAL,Matches ZG3 macro FAKE_TASK_PI_TOP_TASK_OFF
struct task_struct,4608,pi_blocked_on,2224,0x8b0,BTF type_id=462 bits_offset=17792,DWARF pahole -F btf -C task_struct,0x8b0,IDENTICAL,Matches ZG3 macro FAKE_TASK_PI_BLOCKED_ON_OFF
struct task_struct,4608,journal_info,2232,0x8b8,BTF type_id=462 bits_offset=17856,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,bio_list,2240,0x8c0,BTF type_id=462 bits_offset=17920,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,plug,2248,0x8c8,BTF type_id=462 bits_offset=17984,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,reclaim_state,2256,0x8d0,BTF type_id=462 bits_offset=18048,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,backing_dev_info,2264,0x8d8,BTF type_id=462 bits_offset=18112,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,io_context,2272,0x8e0,BTF type_id=462 bits_offset=18176,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,capture_control,2280,0x8e8,BTF type_id=462 bits_offset=18240,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,ptrace_message,2288,0x8f0,BTF type_id=462 bits_offset=18304,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,last_siginfo,2296,0x8f8,BTF type_id=462 bits_offset=18368,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,ioac,2304,0x900,BTF type_id=462 bits_offset=18432,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,psi_flags,2368,0x940,BTF type_id=462 bits_offset=18944,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,acct_rss_mem1,2376,0x948,BTF type_id=462 bits_offset=19008,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,acct_vm_mem1,2384,0x950,BTF type_id=462 bits_offset=19072,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,acct_timexpd,2392,0x958,BTF type_id=462 bits_offset=19136,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,mems_allowed,2400,0x960,BTF type_id=462 bits_offset=19200,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,mems_allowed_seq,2408,0x968,BTF type_id=462 bits_offset=19264,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,cpuset_mem_spread_rotor,2412,0x96c,BTF type_id=462 bits_offset=19296,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,cpuset_slab_spread_rotor,2416,0x970,BTF type_id=462 bits_offset=19328,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,cgroups,2424,0x978,BTF type_id=462 bits_offset=19392,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,cg_list,2432,0x980,BTF type_id=462 bits_offset=19456,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,robust_list,2448,0x990,BTF type_id=462 bits_offset=19584,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,compat_robust_list,2456,0x998,BTF type_id=462 bits_offset=19648,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pi_state_list,2464,0x9a0,BTF type_id=462 bits_offset=19712,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pi_state_cache,2480,0x9b0,BTF type_id=462 bits_offset=19840,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,futex_exit_mutex,2488,0x9b8,BTF type_id=462 bits_offset=19904,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,futex_state,2536,0x9e8,BTF type_id=462 bits_offset=20288,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,perf_event_ctxp,2544,0x9f0,BTF type_id=462 bits_offset=20352,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,perf_event_mutex,2560,0xa00,BTF type_id=462 bits_offset=20480,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,perf_event_list,2608,0xa30,BTF type_id=462 bits_offset=20864,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,tlb_ubc,2624,0xa40,BTF type_id=462 bits_offset=20992,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,(anon),2624,0xa40,BTF type_id=462 bits_offset=20992,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,splice_pipe,2640,0xa50,BTF type_id=462 bits_offset=21120,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,task_frag,2648,0xa58,BTF type_id=462 bits_offset=21184,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,nr_dirtied,2664,0xa68,BTF type_id=462 bits_offset=21312,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,nr_dirtied_pause,2668,0xa6c,BTF type_id=462 bits_offset=21344,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,dirty_paused_when,2672,0xa70,BTF type_id=462 bits_offset=21376,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,timer_slack_ns,2680,0xa78,BTF type_id=462 bits_offset=21440,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,default_timer_slack_ns,2688,0xa80,BTF type_id=462 bits_offset=21504,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,kunit_test,2696,0xa88,BTF type_id=462 bits_offset=21568,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,trace,2704,0xa90,BTF type_id=462 bits_offset=21632,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,trace_recursion,2712,0xa98,BTF type_id=462 bits_offset=21696,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,memcg_in_oom,2720,0xaa0,BTF type_id=462 bits_offset=21760,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,memcg_oom_gfp_mask,2728,0xaa8,BTF type_id=462 bits_offset=21824,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,memcg_oom_order,2732,0xaac,BTF type_id=462 bits_offset=21856,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,memcg_nr_pages_over_high,2736,0xab0,BTF type_id=462 bits_offset=21888,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,active_memcg,2744,0xab8,BTF type_id=462 bits_offset=21952,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,throttle_queue,2752,0xac0,BTF type_id=462 bits_offset=22016,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,utask,2760,0xac8,BTF type_id=462 bits_offset=22080,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,kmap_ctrl,2768,0xad0,BTF type_id=462 bits_offset=22144,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pagefault_disabled,2768,0xad0,BTF type_id=462 bits_offset=22144,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,oom_reaper_list,2776,0xad8,BTF type_id=462 bits_offset=22208,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,oom_reaper_timer,2784,0xae0,BTF type_id=462 bits_offset=22272,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,stack_vm_area,2840,0xb18,BTF type_id=462 bits_offset=22720,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,stack_refcount,2848,0xb20,BTF type_id=462 bits_offset=22784,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,security,2856,0xb28,BTF type_id=462 bits_offset=22848,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,bpf_storage,2864,0xb30,BTF type_id=462 bits_offset=22912,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,bpf_ctx,2872,0xb38,BTF type_id=462 bits_offset=22976,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_vendor_data1,2880,0xb40,BTF type_id=462 bits_offset=23040,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_oem_data1,3392,0xd40,BTF type_id=462 bits_offset=27136,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,kretprobe_instances,3440,0xd70,BTF type_id=462 bits_offset=27520,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved1,3448,0xd78,BTF type_id=462 bits_offset=27584,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved2,3456,0xd80,BTF type_id=462 bits_offset=27648,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved3,3464,0xd88,BTF type_id=462 bits_offset=27712,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved4,3472,0xd90,BTF type_id=462 bits_offset=27776,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved5,3480,0xd98,BTF type_id=462 bits_offset=27840,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved6,3488,0xda0,BTF type_id=462 bits_offset=27904,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved7,3496,0xda8,BTF type_id=462 bits_offset=27968,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,android_kabi_reserved8,3504,0xdb0,BTF type_id=462 bits_offset=28032,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,thread,3520,0xdc0,BTF type_id=462 bits_offset=28160,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct rb_root_cached,16,rb_root,0,0x0,BTF type_id=496 bits_offset=0,DWARF pahole -F btf -C rb_root_cached,N/A,N/A,
struct rb_root_cached,16,rb_leftmost,8,0x8,BTF type_id=496 bits_offset=64,DWARF pahole -F btf -C rb_root_cached,N/A,N/A,
struct cred,176,usage,0,0x0,BTF type_id=553 bits_offset=0,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,uid,4,0x4,BTF type_id=553 bits_offset=32,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,gid,8,0x8,BTF type_id=553 bits_offset=64,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,suid,12,0xc,BTF type_id=553 bits_offset=96,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,sgid,16,0x10,BTF type_id=553 bits_offset=128,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,euid,20,0x14,BTF type_id=553 bits_offset=160,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,egid,24,0x18,BTF type_id=553 bits_offset=192,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,fsuid,28,0x1c,BTF type_id=553 bits_offset=224,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,fsgid,32,0x20,BTF type_id=553 bits_offset=256,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,securebits,36,0x24,BTF type_id=553 bits_offset=288,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,cap_inheritable,40,0x28,BTF type_id=553 bits_offset=320,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,cap_permitted,48,0x30,BTF type_id=553 bits_offset=384,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,cap_effective,56,0x38,BTF type_id=553 bits_offset=448,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,cap_bset,64,0x40,BTF type_id=553 bits_offset=512,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,cap_ambient,72,0x48,BTF type_id=553 bits_offset=576,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,jit_keyring,80,0x50,BTF type_id=553 bits_offset=640,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,session_keyring,88,0x58,BTF type_id=553 bits_offset=704,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,process_keyring,96,0x60,BTF type_id=553 bits_offset=768,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,thread_keyring,104,0x68,BTF type_id=553 bits_offset=832,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,request_key_auth,112,0x70,BTF type_id=553 bits_offset=896,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,security,120,0x78,BTF type_id=553 bits_offset=960,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,user,128,0x80,BTF type_id=553 bits_offset=1024,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,user_ns,136,0x88,BTF type_id=553 bits_offset=1088,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,ucounts,144,0x90,BTF type_id=553 bits_offset=1152,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,group_info,152,0x98,BTF type_id=553 bits_offset=1216,DWARF pahole -F btf -C cred,N/A,N/A,
struct cred,176,(anon),160,0xa0,BTF type_id=553 bits_offset=1280,DWARF pahole -F btf -C cred,N/A,N/A,
struct work_struct,48,data,0,0x0,BTF type_id=610 bits_offset=0,DWARF pahole -F btf -C work_struct,0x00,IDENTICAL,Matches ZG3 macro WORK_DATA_OFF
struct work_struct,48,entry,8,0x8,BTF type_id=610 bits_offset=64,DWARF pahole -F btf -C work_struct,0x08,IDENTICAL,Matches ZG3 macro WORK_ENTRY_OFF
struct work_struct,48,func,24,0x18,BTF type_id=610 bits_offset=192,DWARF pahole -F btf -C work_struct,0x18,IDENTICAL,Matches ZG3 macro WORK_FUNC_OFF
struct work_struct,48,android_kabi_reserved1,32,0x20,BTF type_id=610 bits_offset=256,DWARF pahole -F btf -C work_struct,N/A,N/A,
struct work_struct,48,android_kabi_reserved2,40,0x28,BTF type_id=610 bits_offset=320,DWARF pahole -F btf -C work_struct,N/A,N/A,
struct rt_mutex_waiter,88,tree_entry,0,0x0,BTF type_id=7917 bits_offset=0,DWARF pahole -F btf -C rt_mutex_waiter,N/A,N/A,
struct rt_mutex_waiter,88,pi_tree_entry,24,0x18,BTF type_id=7917 bits_offset=192,DWARF pahole -F btf -C rt_mutex_waiter,0x18,IDENTICAL,Matches ZG3 macro FAKE_WAITER_PI_TREE_ENTRY_OFF
struct rt_mutex_waiter,88,task,48,0x30,BTF type_id=7917 bits_offset=384,DWARF pahole -F btf -C rt_mutex_waiter,0x30,IDENTICAL,Matches ZG3 macro FAKE_WAITER_TASK_OFF
struct rt_mutex_waiter,88,lock,56,0x38,BTF type_id=7917 bits_offset=448,DWARF pahole -F btf -C rt_mutex_waiter,0x38,IDENTICAL,Matches ZG3 macro FAKE_WAITER_LOCK_OFF
struct rt_mutex_waiter,88,wake_state,64,0x40,BTF type_id=7917 bits_offset=512,DWARF pahole -F btf -C rt_mutex_waiter,0x40,IDENTICAL,Matches ZG3 macro FAKE_WAITER_WAKE_STATE_OFF
struct rt_mutex_waiter,88,prio,68,0x44,BTF type_id=7917 bits_offset=544,DWARF pahole -F btf -C rt_mutex_waiter,0x44,IDENTICAL,Matches ZG3 macro FAKE_WAITER_PRIO_OFF
struct rt_mutex_waiter,88,deadline,72,0x48,BTF type_id=7917 bits_offset=576,DWARF pahole -F btf -C rt_mutex_waiter,0x48,IDENTICAL,Matches ZG3 macro FAKE_WAITER_DEADLINE_OFF
struct rt_mutex_waiter,88,ww_ctx,80,0x50,BTF type_id=7917 bits_offset=640,DWARF pahole -F btf -C rt_mutex_waiter,0x50,IDENTICAL,Matches ZG3 macro FAKE_WAITER_WW_CTX_OFF
struct rt_mutex_base,32,wait_lock,0,0x0,BTF type_id=7919 bits_offset=0,DWARF pahole -F btf -C rt_mutex_base,N/A,N/A,
struct rt_mutex_base,32,waiters,8,0x8,BTF type_id=7919 bits_offset=64,DWARF pahole -F btf -C rt_mutex_base,N/A,N/A,
struct rt_mutex_base,32,owner,24,0x18,BTF type_id=7919 bits_offset=192,DWARF pahole -F btf -C rt_mutex_base,N/A,N/A,
struct rt_mutex,32,rtmutex,0,0x0,BTF type_id=7921 bits_offset=0,DWARF pahole -F btf -C rt_mutex,N/A,N/A,
struct mm_struct,992,entire_struct,0,0x0,BTF/Kbuild vmlinux offset=0,DWARF/pahole verified,0x400,IDENTICAL,sizeof=992 (0x3e0); slab cache bucket is kmalloc-1k (0x400)
struct page,64,entire_struct,0,0x0,BTF/Kbuild vmlinux offset=0,DWARF/pahole verified,0x40,IDENTICAL,Exact struct page size
struct page,64,compound_head,8,0x8,BTF/Kbuild vmlinux offset=8,DWARF/pahole verified,0x08,IDENTICAL,Union compound_head in page
struct page,64,slab_cache,24,0x18,BTF/Kbuild vmlinux offset=24,DWARF/pahole verified,0x18,IDENTICAL,slab_cache pointer in slab page
struct page,64,page_type,48,0x30,BTF/Kbuild vmlinux offset=48,DWARF/pahole verified,0x30,IDENTICAL,page_type field in page
struct workqueue_struct,320,dfl_pwq,176,0xb0,BTF/Kbuild vmlinux offset=176,DWARF/pahole verified,0xb0,IDENTICAL,Default pool_workqueue pointer
struct pool_workqueue,256,pool,0,0x0,BTF/Kbuild vmlinux offset=0,DWARF/pahole verified,0x00,IDENTICAL,Worker pool pointer
struct pool_workqueue,256,wq,8,0x8,BTF/Kbuild vmlinux offset=8,DWARF/pahole verified,0x08,IDENTICAL,Workqueue pointer
struct pool_workqueue,256,work_color,16,0x10,BTF/Kbuild vmlinux offset=16,DWARF/pahole verified,0x10,IDENTICAL,Work color indicator
struct pool_workqueue,256,refcnt,24,0x18,BTF/Kbuild vmlinux offset=24,DWARF/pahole verified,0x18,IDENTICAL,Reference count
struct pool_workqueue,256,nr_in_flight,28,0x1c,BTF/Kbuild vmlinux offset=28,DWARF/pahole verified,0x1c,IDENTICAL,In-flight works array
struct pool_workqueue,256,nr_active,92,0x5c,BTF/Kbuild vmlinux offset=92,DWARF/pahole verified,0x5c,IDENTICAL,Number of active works
struct pool_workqueue,256,max_active,96,0x60,BTF/Kbuild vmlinux offset=96,DWARF/pahole verified,0x60,IDENTICAL,Maximum active works
struct worker_pool,896,worklist,32,0x20,BTF/Kbuild vmlinux offset=32,DWARF/pahole verified,0x20,IDENTICAL,Pending worklist head
struct worker_pool,896,nr_idle,52,0x34,BTF/Kbuild vmlinux offset=52,DWARF/pahole verified,0x34,IDENTICAL,Idle workers count
struct configfs_buffer,112,page,16,0x10,BTF/Kbuild vmlinux offset=16,DWARF/pahole verified,16,IDENTICAL,Page buffer pointer
struct configfs_buffer,112,needs_read_fill,80,0x50,BTF/Kbuild vmlinux offset=80,DWARF/pahole verified,80,IDENTICAL,Read fill flag
struct configfs_buffer,112,bin_buffer,88,0x58,BTF/Kbuild vmlinux offset=88,DWARF/pahole verified,88,IDENTICAL,Binary buffer pointer
struct configfs_buffer,112,bin_buffer_size,96,0x60,BTF/Kbuild vmlinux offset=96,DWARF/pahole verified,96,IDENTICAL,Binary buffer size
struct configfs_buffer,112,cb_max_size,100,0x64,BTF/Kbuild vmlinux offset=100,DWARF/pahole verified,100,IDENTICAL,Callback max size
