SLIDE,IN_FINGERPRINT_TABLE,STATICALLY_REACHABLE,EVIDENCE,CONFIDENCE,NOTES
0x1b0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1b4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1b8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1bc000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1c0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1c4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1c8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1cc000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1d0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1d4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1d8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1dc000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1e0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1e4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,"Phase E conclusion INSUFFICIENT_EVIDENCE. Label is in the table and its Image offset is valid, but table membership is not reachability and the label/address relationship is unproved."
0x1e8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,"Phase E conclusion INSUFFICIENT_EVIDENCE. Label is in the table and its Image offset is valid, but table membership is not reachability and the label/address relationship is unproved."
0x1ec000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,"Phase E conclusion INSUFFICIENT_EVIDENCE. Label is in the table and its Image offset is valid, but table membership is not reachability and the label/address relationship is unproved."
0x1f0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,"Phase E conclusion INSUFFICIENT_EVIDENCE. Label is in the table and its Image offset is valid, but table membership is not reachability and the label/address relationship is unproved."
